,microbiome_OTU.1,microbiome_OTU.5,microbiome_OTU.60,microbiome_OTU.87,microbiome_OTU.94,microbiome_OTU.101,microbiome_OTU.116,microbiome_OTU.118,microbiome_OTU.191,microbiome_OTU.225,microbiome_OTU.268,microbiome_OTU.372,microbiome_OTU.417,microbiome_OTU.480,microbiome_OTU.536,microbiome_OTU.557,microbiome_OTU.590,microbiome_OTU.628,microbiome_OTU.663,microbiome_OTU.1004,microbiome_OTU.1014,microbiome_OTU.1042
4032_1,-0.125667163378747,0.139664201927308,0.70554917264902,0.467384242013743,0.473812515840587,0.787583332858594,0.852953123904476,1.17815078168182,-1.63003899095101,0.937554887898351,0.895937087103605,0.751244773868305,1.00623144044834,0.235399500385399,-0.99754639384365,-1.02848267915693,-1.45043226269984,1.00014200710171,0.62544585173528,-0.636384120313629,-0.999187033315699,-0.818842863994447
4032_2,0.0434367527950069,0.332498587489784,0.521614214321256,0.708549370063616,0.514539314420435,0.901043283040951,0.728737770145761,0.956692746453367,-1.3555989899379,0.915396235327228,0.877879833051543,0.123596584318019,0.952648652283079,0.765274179824773,-0.745165006791538,-0.755921365499107,-1.15063830456802,-1.59589446504173,0.921456598367749,-0.231080660700601,-0.634888405249597,-0.404453466793381
4032_3,0.1991663304033,0.0325600612476104,0.943682983052172,0.510663420716304,-0.190213619922835,0.821408265659859,0.886745434925765,0.846244972489136,-1.60611727454466,0.909509016295858,0.784118809323322,-0.383710491017169,1.10056017676263,0.315905381361873,-0.975547428878579,-1.00472471958618,-1.4243005544201,0.146166510624532,0.432650753830487,-0.601055617239796,1.17206835103892,-0.78272238008158
4032_4,0.336412526663077,-0.0797286926788814,0.889946413821806,0.123324379943632,-0.0331904567932736,0.400457349704372,0.863460199691583,0.566124262076621,-0.515005471415192,0.724056114878368,0.774916173310222,0.0779594042928344,0.991170944615734,0.304185752267315,-0.989869519287872,-1.02019197658908,-1.44131320429367,-0.480416718104746,0.495615457278617,-0.624055700009681,1.25587962460232,-0.806238069890118
4032_5,0.636220835409243,-0.223310841018097,0.779593416705136,0.54758083562322,0.11328501136973,0.2125244256951,0.768613603009849,0.884757399625067,-1.64001995519363,1.01454189947327,0.774625821533058,0.138185866171599,0.991503167522504,0.11063324346949,-1.00672511994178,-1.03839531840593,-1.46133531169132,-0.208580637315901,0.918251979348116,-0.651124388943836,1.34502109415786,-0.833913574316251
4033_1,0.184998884709127,-0.252750236363213,0.31305672541298,-0.846082658665728,-0.0522843026093297,0.629149928050164,0.149312777190245,-0.472539163854632,-1.7045741343519,0.246082029090293,0.224228049803232,-0.204570206144564,-2.95191032992011,0.809655449262832,1.34379081362705,-1.10250758997176,0.567916987613552,0.731336249883203,0.327216062689793,1.1210281735101,-1.09812687584381,1.6161376586912
4033_2,0.328231492196041,0.131094735758389,0.494289223298745,0.295039571951928,0.508985613839776,0.660947037998855,0.635874774093579,-3.53950891123401,-1.51056406534218,0.855003611289382,0.319254451114295,0.492729502679063,-2.65133948552519,1.00627753901131,1.41466513931753,-0.909825622777019,0.343317400672247,-0.0634914133884935,0.339974477320194,-0.459938993846964,1.37149786922504,-0.638442258321361
4033_3,-0.0355516642272065,0.006381175454156,-0.046444619916089,0.00410897437815867,0.722223464208128,0.721969943878746,-0.122699825181234,-3.33011596785484,-1.38931391916005,0.364132765567707,0.110392495784632,-0.288367129385014,-2.46349223096263,0.904523694027403,1.26556997626767,-0.789405498150133,0.38145749009732,0.414528143372066,0.2418049728223,1.85143850088528,-0.679642458651562,1.43285722694168
4033_4,0.303926852592422,-0.217897067452819,0.356160802231085,0.441356433979533,0.354915945810493,0.6036748296494,0.0752112583496367,-3.63046745953304,-1.56323411763616,-1.72162275673534,-0.106797201923814,-0.118941793987151,-0.216407192247417,0.625142495233159,1.4085920244852,-0.00769217302078394,0.405817630632017,0.174843266564796,0.47506434548192,1.92336668918048,0.864078633335796,-0.71797115768035
4033_5,0.822378492534558,0.202950128027147,1.24868274678185,0.168743560697562,0.231606993422178,0.547125683716342,0.600124815492381,-0.238036395604714,-1.32351244928747,1.00277530510764,0.742280621465632,0.417089084398734,-2.36154905109067,1.125631652422,1.61060578490151,-0.724054474236424,-1.11558747018221,-1.55774597112979,-1.23144279500339,-0.183694033807202,1.45829970306302,-0.356004544663538
